City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapuskasing,49.4169,-82.4331,1.05,100,100,6.69,CA,1731541667
1,puerto natales,-51.7236,-72.4875,7.83,64,6,2.88,CL,1731541669
2,ushuaia,-54.8,-68.3,11.81,40,75,6.17,AR,1731541510
3,bilibino,68.0546,166.4372,-28.83,100,87,0.26,RU,1731541671
4,port-aux-francais,-49.35,70.2167,4.23,89,100,13.62,TF,1731541672
5,grytviken,-54.2811,-36.5092,-1.9,82,94,1.75,GS,1731541673
6,mount isa,-20.7333,139.5,32.87,19,78,7.72,AU,1731541572
7,flying fish cove,-10.4217,105.6791,26.82,94,100,4.63,CX,1731541675
8,waitangi,-43.9535,-176.5597,11.61,75,55,6.23,NZ,1731541676
9,edinburgh of the seven seas,-37.0676,-12.3116,16.33,90,55,10.74,SH,1731541677
10,maragogi,-9.0122,-35.2225,24.42,75,7,4.56,BR,1731541678
11,tiksi,71.6872,128.8694,-24.85,100,96,1.64,RU,1731541679
12,port mathurin,-19.6833,63.4167,24.27,84,18,6.75,MU,1731541681
13,mahibadhoo,3.7833,72.9667,28.26,65,75,3.19,MV,1731541682
14,anadyr,64.75,177.4833,-2.72,86,40,12.0,RU,1731541683
15,kohlu,29.8962,69.252,12.56,58,24,0.45,PK,1731541684
16,st. john's,47.5649,-52.7093,3.66,94,100,16.46,CA,1731541587
17,bethel,41.3712,-73.414,5.29,54,0,0.89,US,1731541545
18,adamstown,-25.066,-130.1015,22.02,80,85,3.52,PN,1731541585
19,nova sintra,14.8667,-24.7167,25.96,69,91,4.91,CV,1731541688
20,carnarvon,-24.8667,113.6333,22.9,73,64,4.75,AU,1731541689
21,ribeira grande,38.5167,-28.7,18.76,89,44,4.92,PT,1731541690
22,fort bragg,35.139,-79.006,12.12,69,0,2.06,US,1731541601
23,margate,51.3813,1.3862,8.72,86,100,3.58,GB,1731541693
24,punta arenas,-53.15,-70.9167,10.06,57,75,14.4,CL,1731541537
25,enewetak,11.3474,162.3373,28.52,72,72,6.9,MH,1731541695
26,cide,41.8921,33.0044,12.89,89,96,4.16,TR,1731541696
27,lakeview,42.432,-75.8655,2.66,69,11,1.34,US,1731541697
28,ilulissat,69.2167,-51.1,-2.99,68,20,8.75,GL,1731541698
29,saipan,15.1355,145.701,30.39,76,20,7.72,MP,1731541699
30,naama,33.2667,-0.3167,13.91,55,100,8.09,DZ,1731541700
31,cole harbour,44.6724,-63.4751,0.71,64,33,10.8,CA,1731541702
32,hermanus,-34.4187,19.2345,15.45,75,18,6.56,ZA,1731541703
33,whitehorse,60.7161,-135.0538,-5.57,85,100,2.57,CA,1731541704
34,kingston,17.997,-76.7936,27.53,78,20,9.26,JM,1731541449
35,haikou,20.0458,110.3417,22.07,94,39,1.0,CN,1731541706
36,singkil,-7.9855,111.4161,27.71,78,33,1.5,ID,1731541707
37,blackmans bay,-43.0167,147.3167,15.41,52,57,1.34,AU,1731541708
38,colonia,50.9333,6.95,9.42,93,75,4.12,DE,1731541551
39,nyurba,63.2842,118.3319,-24.69,99,93,2.01,RU,1731541711
40,iqaluit,63.7506,-68.5145,-10.15,73,75,0.0,CA,1731541712
41,altay,47.8667,88.1167,-8.12,99,96,0.31,CN,1731541713
42,kaka,37.3482,59.6143,5.51,57,93,3.34,TM,1731541714
43,al mutayrifi,25.4788,49.5576,20.19,59,12,4.33,SA,1731541715
44,pijijiapan,15.7011,-93.23,25.39,89,61,0.5,MX,1731541716
45,qaqortoq,60.7167,-46.0333,-3.16,65,98,9.89,GL,1731541717
46,fortuna,40.5982,-124.1573,14.08,94,40,1.79,US,1731541718
47,shakhun'ya,57.6758,46.6114,-0.16,95,100,4.5,RU,1731541719
48,hawaiian paradise park,19.5933,-154.9731,24.93,88,100,2.06,US,1731541720
49,uvira,-3.4067,29.1458,23.17,75,60,2.2,CD,1731541722
50,papatowai,-46.5619,169.4708,16.66,62,100,3.49,NZ,1731541723
51,port augusta,-32.5,137.7667,20.19,49,0,4.07,AU,1731541724
52,sao joao da barra,-21.6403,-41.0511,22.56,95,100,3.14,BR,1731541726
53,vila franca do campo,37.7167,-25.4333,18.27,99,12,2.67,PT,1731541727
54,khanpur,28.6453,70.6567,22.25,37,0,2.72,PK,1731541728
55,haiku-pauwela,20.9219,-156.3051,27.36,75,40,10.73,US,1731541729
56,puerto ayora,-0.7393,-90.3518,22.53,86,29,2.24,EC,1731541730
57,margaret river,-33.95,115.0667,16.78,72,55,5.03,AU,1731541732
58,novyy urgal,51.0736,132.5642,-11.57,86,63,1.16,RU,1731541733
